Name,Country,Height (cm),Weight (kg),Gender,Competition Time (s),Event Date,Competition,Position,Current Age,Competition Years,Best Time (s),IMC,Training Hours/Week,Last Injury,Entrenador,Historial de competencias,Nivel de Competencia,Categoria IMC
Michael Phelps,Japan,197,76,0,51.35,11/03/2018,Pan Pacific Championships,7,29,9,33,19.58309,22,Sin lesiones,Entrenador D,5 competencias,Olimpico,Normal
Emma McKeon,Sweden,191,93,1,49.65,16/01/2018,European Championships,1,38,10,34,25.49272,27,20/06/2022,Entrenador D,25 competencias,Olimpico,Sobrepeso
Laszlo Cseh,China,171,80,0,51.41,20/09/2007,European Championships,8,36,12,28,27.35885,32,Sin lesiones,Entrenador A,5 competencias,Olimpico,Sobrepeso
Louise Hansson,Japan,165,59,1,54.59,05/12/2006,Olympic Games,5,30,14,36,21.67126,25,01/11/2020,Entrenador A,5 competencias,Olimpico,Normal
Noe Ponti,Sweden,168,89,0,53.21,19/10/2020,European Championships,4,25,6,32,31.53345,18,20/06/2022,Entrenador B,20 competencias,Olimpico,Obesidad
Andrei Minakov,Singapore,165,91,1,57.75,02/04/2017,Pan Pacific Championships,1,24,7,30,33.42516,32,Sin lesiones,Entrenador A,5 competencias,Olimpico,Obesidad
Claire Curzan,Singapore,183,92,1,55.55,06/12/2019,Pan Pacific Championships,2,26,10,50,27.47171,15,Sin lesiones,Entrenador D,15 competencias,Olimpico,Sobrepeso
Tom Shields,USA,169,94,0,53.71,11/11/2016,European Championships,4,35,9,39,32.91201,15,25/05/2019,Entrenador B,25 competencias,Olimpico,Obesidad
Andrei Minakov,China,183,81,0,50.68,27/04/2008,Olympic Games,6,39,5,40,24.18705,20,10/02/2023,Entrenador C,5 competencias,Olimpico,Normal
Kristof Milak,Sweden,199,68,0,57.9,14/06/2020,European Championships,2,22,6,35,17.17128,22,Sin lesiones,Entrenador D,5 competencias,Olimpico,Bajo peso
Caeleb Dressel,USA,197,64,0,51.07,11/11/2008,Olympic Games,4,25,7,45,16.49102,27,20/06/2022,Entrenador B,5 competencias,Olimpico,Bajo peso
Joseph Schooling,Japan,160,78,0,54.67,21/10/2006,European Championships,8,23,8,33,30.46875,15,01/11/2020,Entrenador C,25 competencias,Olimpico,Obesidad
Andrei Minakov,USA,192,99,0,54,19/01/2013,European Championships,2,27,9,34,26.85547,15,01/11/2020,Entrenador B,15 competencias,Olimpico,Sobrepeso
Claire Curzan,Singapore,174,91,1,56.2,19/09/2016,Pan Pacific Championships,5,20,10,28,30.05681,32,Sin lesiones,Entrenador D,10 competencias,Olimpico,Obesidad
Takeshi Matsuda,Sweden,185,72,0,57.87,07/08/2020,Pan Pacific Championships,1,31,12,36,21.03725,25,20/06/2022,Entrenador B,10 competencias,Olimpico,Normal
Joseph Schooling,Hungary,198,68,0,52.01,25/04/2018,Pan Pacific Championships,3,18,14,32,17.34517,18,Sin lesiones,Entrenador A,25 competencias,Olimpico,Bajo peso
Takeshi Matsuda,Australia,160,81,0,55.63,20/09/2019,Pan Pacific Championships,3,28,6,30,31.64063,32,01/11/2020,Entrenador A,20 competencias,Olimpico,Obesidad
Michael Phelps,France,195,85,0,49.27,12/02/2013,Swim USA,1,29,7,50,22.35371,15,15/01/2021,Entrenador A,10 competencias,Olimpico,Normal
Sarah Sjostrom,Russia,166,63,1,56.56,26/01/2019,Swim USA,8,31,10,39,22.86253,15,Sin lesiones,Entrenador A,5 competencias,Olimpico,Normal
Beryl Gastaldello,Singapore,166,65,1,52.11,16/05/2021,World Championships,7,29,9,40,23.58833,20,Sin lesiones,Entrenador D,10 competencias,Olimpico,Normal
Marie Wattel,USA,184,63,1,49.68,07/09/2015,European Championships,1,38,5,35,18.60822,22,Sin lesiones,Entrenador B,10 competencias,Olimpico,Normal
Dana Vollmer,South Africa,173,92,1,54.63,31/12/2012,European Championships,6,36,6,45,30.73942,27,Sin lesiones,Entrenador B,5 competencias,Olimpico,Obesidad
Claire Curzan,China,169,61,1,56.82,13/08/2008,European Championships,3,30,7,33,21.3578,32,Sin lesiones,Entrenador D,10 competencias,Olimpico,Normal
Michael Phelps,USA,186,100,0,54.04,31/01/2006,European Championships,1,25,8,34,28.90508,25,10/02/2023,Entrenador B,10 competencias,Olimpico,Sobrepeso
Laszlo Cseh,USA,170,89,0,57.28,20/05/2006,Pan Pacific Championships,5,24,9,28,30.79585,18,10/02/2023,Entrenador D,20 competencias,Olimpico,Obesidad
Laszlo Cseh,USA,200,55,0,50.1,05/07/2017,European Championships,5,26,10,36,13.75,32,Sin lesiones,Entrenador C,20 competencias,Olimpico,Bajo peso
Laszlo Cseh,USA,166,91,0,51.54,20/07/2016,World Championships,8,35,12,32,33.02366,15,Sin lesiones,Entrenador D,5 competencias,Olimpico,Obesidad
Takeshi Matsuda,Australia,197,91,0,52.21,14/11/2019,Swim USA,7,39,14,30,23.44817,15,Sin lesiones,Entrenador C,5 competencias,Olimpico,Normal
Laszlo Cseh,Russia,184,61,0,56.73,13/11/2013,Swim USA,6,22,6,50,18.01749,20,Sin lesiones,Entrenador D,5 competencias,Olimpico,Bajo peso
Sarah Sjostrom,Sweden,184,55,1,53.31,01/06/2019,Olympic Games,2,25,7,39,16.24527,22,15/01/2021,Entrenador D,5 competencias,Olimpico,Bajo peso
Joseph Schooling,Hungary,171,57,0,53.51,26/01/2022,Pan Pacific Championships,3,23,10,40,19.49318,27,Sin lesiones,Entrenador D,10 competencias,Olimpico,Normal
Takeshi Matsuda,Russia,199,69,0,51.82,15/02/2016,World Championships,5,27,9,35,17.4238,32,25/05/2019,Entrenador A,5 competencias,Olimpico,Bajo peso
Kristof Milak,Japan,198,56,0,54.21,17/03/2016,Pan Pacific Championships,4,20,5,45,14.28426,25,15/01/2021,Entrenador C,15 competencias,Olimpico,Bajo peso
Dana Vollmer,Hungary,173,92,1,55.42,06/12/2009,European Championships,1,31,6,33,30.73942,18,10/02/2023,Entrenador A,5 competencias,Olimpico,Obesidad
Kelsi Dahlia,South Africa,160,76,1,51.7,03/09/2021,European Championships,8,18,7,34,29.6875,32,Sin lesiones,Entrenador B,5 competencias,Olimpico,Sobrepeso
Michael Phelps,South Africa,183,68,0,56.94,24/07/2007,World Championships,8,28,8,28,20.30517,15,Sin lesiones,Entrenador D,5 competencias,Olimpico,Normal
Dana Vollmer,China,185,70,1,53.8,04/05/2024,Olympic Games,6,29,9,36,20.45289,15,10/02/2023,Entrenador D,15 competencias,Olimpico,Normal
Emma McKeon,France,197,86,1,54.19,25/08/2016,Swim USA,3,31,10,32,22.15981,20,20/06/2022,Entrenador C,25 competencias,Olimpico,Normal
Joseph Schooling,Australia,184,72,0,49.74,04/11/2016,Olympic Games,1,29,12,30,21.26654,22,Sin lesiones,Entrenador D,5 competencias,Olimpico,Normal
Claire Curzan,France,175,58,1,49.07,07/11/2018,Olympic Games,6,38,14,50,18.93878,27,Sin lesiones,Entrenador C,25 competencias,Olimpico,Normal
Dana Vollmer,Singapore,188,84,1,57.46,24/03/2009,Pan Pacific Championships,3,36,6,39,23.76641,15,Sin lesiones,Entrenador C,10 competencias,Olimpico,Normal
Claire Curzan,Hungary,167,67,1,55.72,27/12/2018,Swim USA,3,30,7,40,24.02381,15,Sin lesiones,Entrenador B,25 competencias,Olimpico,Normal
Kristof Milak,Singapore,183,58,0,49.89,24/03/2012,Olympic Games,2,25,10,35,17.31912,32,Sin lesiones,Entrenador D,15 competencias,Olimpico,Bajo peso
Dana Vollmer,Russia,187,71,1,54.62,27/11/2015,World Championships,6,24,9,45,20.3037,25,10/02/2023,Entrenador B,20 competencias,Olimpico,Normal
Beryl Gastaldello,South Africa,191,77,1,54.28,04/10/2009,European Championships,3,26,5,33,21.10688,18,25/05/2019,Entrenador C,20 competencias,Olimpico,Normal
Louise Hansson,Japan,177,93,1,52.12,05/08/2024,World Championships,1,35,6,34,29.68496,32,Sin lesiones,Entrenador B,5 competencias,Olimpico,Sobrepeso
Dana Vollmer,Sweden,179,59,1,51.42,31/07/2013,European Championships,4,39,7,28,18.41391,15,Sin lesiones,Entrenador D,5 competencias,Olimpico,Bajo peso
Andrei Minakov,Hungary,178,75,0,49.34,27/02/2014,European Championships,6,22,8,36,23.67125,15,25/05/2019,Entrenador B,10 competencias,Olimpico,Normal
Maggie MacNeil,Russia,190,82,1,50.11,02/02/2021,Pan Pacific Championships,8,25,9,32,22.71468,20,20/06/2022,Entrenador C,20 competencias,Olimpico,Normal
Chad le Clos,South Africa,162,56,0,50.23,25/03/2020,World Championships,5,23,10,30,21.33821,22,10/02/2023,Entrenador A,10 competencias,Olimpico,Normal
Kristof Milak,Hungary,197,82,0,54.25,16/02/2011,Swim USA,4,27,12,50,21.12912,27,01/11/2020,Entrenador D,15 competencias,Olimpico,Normal
Louise Hansson,Singapore,175,69,1,55.6,08/07/2022,World Championships,1,20,14,39,22.53061,32,01/11/2020,Entrenador C,10 competencias,Olimpico,Normal
Joseph Schooling,Australia,169,59,0,51.66,01/08/2019,Swim USA,5,31,6,40,20.65754,25,25/05/2019,Entrenador B,5 competencias,Olimpico,Normal
Chad le Clos,Japan,195,94,0,55.45,05/02/2022,Pan Pacific Championships,6,18,7,35,24.72058,18,Sin lesiones,Entrenador A,10 competencias,Olimpico,Normal
Kelsi Dahlia,Sweden,172,95,1,50.78,31/10/2022,Pan Pacific Championships,2,28,10,45,32.11195,32,25/05/2019,Entrenador C,15 competencias,Olimpico,Obesidad
Michael Phelps,Hungary,163,95,0,52.86,24/01/2007,Swim USA,3,29,9,33,35.75596,15,20/06/2022,Entrenador B,5 competencias,Olimpico,Obesidad
Caeleb Dressel,Australia,198,93,0,53.77,17/05/2007,Pan Pacific Championships,6,31,5,34,23.72207,15,Sin lesiones,Entrenador C,25 competencias,Olimpico,Normal
Kelsi Dahlia,France,192,70,1,50.11,18/07/2005,Olympic Games,2,29,6,28,18.98872,20,Sin lesiones,Entrenador B,20 competencias,Olimpico,Normal
Noe Ponti,Russia,172,76,0,49.23,24/07/2009,Pan Pacific Championships,6,38,7,36,25.68956,22,Sin lesiones,Entrenador B,20 competencias,Olimpico,Sobrepeso
Laszlo Cseh,France,166,68,0,51.08,31/12/2021,Olympic Games,5,36,8,32,24.67702,27,01/11/2020,Entrenador A,5 competencias,Olimpico,Normal
Zhang Yufei,USA,160,88,1,50.58,29/12/2015,Olympic Games,6,30,9,30,34.375,32,Sin lesiones,Entrenador B,25 competencias,Olimpico,Obesidad
Emma McKeon,Australia,180,60,1,57.87,26/05/2011,European Championships,7,25,10,50,18.51852,25,Sin lesiones,Entrenador B,5 competencias,Olimpico,Normal
Maggie MacNeil,Hungary,173,100,1,53.35,16/01/2006,Pan Pacific Championships,2,24,12,39,33.41241,18,25/05/2019,Entrenador A,5 competencias,Olimpico,Obesidad
Andrei Minakov,Hungary,166,66,0,50.13,28/03/2021,Pan Pacific Championships,6,26,14,40,23.95123,32,Sin lesiones,Entrenador A,15 competencias,Olimpico,Normal
Joseph Schooling,Hungary,178,60,0,53.56,07/08/2020,Pan Pacific Championships,4,35,6,35,18.937,15,01/11/2020,Entrenador B,10 competencias,Olimpico,Normal
Andrei Minakov,Singapore,180,73,0,50.7,03/02/2020,Swim USA,7,39,7,45,22.53086,15,Sin lesiones,Entrenador B,10 competencias,Olimpico,Normal
Chad le Clos,Australia,166,90,0,54.64,26/04/2005,Pan Pacific Championships,5,22,10,33,32.66076,20,10/02/2023,Entrenador C,5 competencias,Olimpico,Obesidad
Zhang Yufei,Hungary,190,55,1,50.32,11/12/2009,European Championships,4,25,9,34,15.23546,22,Sin lesiones,Entrenador C,5 competencias,Olimpico,Bajo peso
Kristof Milak,Australia,182,72,0,50.84,17/12/2007,World Championships,2,23,5,28,21.73651,27,01/11/2020,Entrenador B,10 competencias,Olimpico,Normal
Emma McKeon,Australia,190,78,1,53.32,18/09/2020,Olympic Games,4,27,6,36,21.60665,32,Sin lesiones,Entrenador B,15 competencias,Olimpico,Normal
Joseph Schooling,Sweden,186,74,0,50.82,13/03/2016,Olympic Games,7,20,7,32,21.38976,25,Sin lesiones,Entrenador D,25 competencias,Olimpico,Normal
Sarah Sjostrom,USA,193,81,1,50.85,01/01/2021,Olympic Games,4,31,8,30,21.74555,18,10/02/2023,Entrenador A,25 competencias,Olimpico,Normal
Claire Curzan,USA,200,95,1,52.94,12/11/2015,Olympic Games,8,18,9,50,23.75,32,Sin lesiones,Entrenador B,10 competencias,Olimpico,Normal
Sarah Sjostrom,France,199,99,1,51.42,23/05/2021,World Championships,3,28,10,39,24.99937,15,10/02/2023,Entrenador A,5 competencias,Olimpico,Normal
Kelsi Dahlia,Japan,181,68,1,50.22,28/08/2008,Olympic Games,7,29,12,40,20.75639,15,Sin lesiones,Entrenador A,20 competencias,Olimpico,Normal
Emma McKeon,Australia,183,86,1,49.62,12/04/2023,Pan Pacific Championships,6,31,14,35,25.68007,20,Sin lesiones,Entrenador B,10 competencias,Olimpico,Sobrepeso
Kelsi Dahlia,China,187,94,1,57.12,13/11/2006,Olympic Games,3,29,6,45,26.88095,22,Sin lesiones,Entrenador D,5 competencias,Olimpico,Sobrepeso
Louise Hansson,South Africa,198,79,1,57.86,11/05/2012,Pan Pacific Championships,2,38,7,33,20.151,27,Sin lesiones,Entrenador C,15 competencias,Olimpico,Normal
Claire Curzan,Singapore,167,98,1,51.88,15/11/2004,World Championships,7,36,10,34,35.1393,32,Sin lesiones,Entrenador B,15 competencias,Olimpico,Obesidad
Joseph Schooling,Sweden,169,66,0,57.76,16/01/2008,Olympic Games,7,37,9,28,23.10843,25,Sin lesiones,Entrenador A,5 competencias,Olimpico,Normal
Chad le Clos,Singapore,160,79,0,50.37,27/09/2011,World Championships,3,28,5,36,30.85938,18,Sin lesiones,Entrenador B,5 competencias,Olimpico,Obesidad
Joseph Schooling,Sweden,168,76,0,53.26,25/03/2019,Pan Pacific Championships,2,26,6,32,26.92744,32,01/11/2020,Entrenador A,10 competencias,Olimpico,Sobrepeso
Marie Wattel,Japan,195,76,1,56.71,09/07/2014,Swim USA,4,22,7,30,19.98685,15,Sin lesiones,Entrenador A,5 competencias,Olimpico,Normal
Claire Curzan,Russia,174,77,1,51.95,07/01/2007,Pan Pacific Championships,3,31,8,50,25.43269,15,Sin lesiones,Entrenador D,25 competencias,Olimpico,Sobrepeso
Beryl Gastaldello,USA,176.25,73.6,1,50.94,02/10/2010,World Championships,6,30,5,50,23.69297,20,Sin lesiones,Entrenador D,5 competencias,Olimpico,Normal
Maggie MacNeil,Sweden,186.39,74.98,1,51.69,15/01/2013,Swim USA,1,25,6,39,21.58242,22,Sin lesiones,Entrenador A,10 competencias,Olimpico,Normal
Tom Shields,France,167.91,55.26,0,54.54,01/10/2004,Pan Pacific Championships,3,24,7,40,19.60008,27,Sin lesiones,Entrenador A,5 competencias,Olimpico,Normal
Beryl Gastaldello,Hungary,189.66,73.69,1,54.79,01/01/2016,Olympic Games,7,26,8,35,20.486,32,15/01/2021,Entrenador D,5 competencias,Olimpico,Normal
Tom Shields,Sweden,182.47,73.39,1,56.09,16/04/2016,Pan Pacific Championships,2,35,9,45,22.04215,25,20/06/2022,Entrenador C,10 competencias,Olimpico,Normal
Emma McKeon,USA,181.19,81.66,0,51.1,08/05/2022,World Championships,5,39,10,33,24.87373,18,Sin lesiones,Entrenador A,5 competencias,Olimpico,Normal
Michael Phelps,USA,189.31,56.82,1,53.34,15/11/2017,Olympic Games,3,22,12,34,15.85456,32,Sin lesiones,Entrenador C,25 competencias,Olimpico,Bajo peso
Louise Hansson,South Africa,170.89,83.32,0,54.97,25/12/2006,Pan Pacific Championships,5,25,14,28,28.53093,15,Sin lesiones,Entrenador B,15 competencias,Olimpico,Sobrepeso
Emma McKeon,Australia,169.83,61.18,0,56.97,14/04/2018,European Championships,8,23,6,36,21.21195,15,15/01/2021,Entrenador A,10 competencias,Olimpico,Normal
Dana Vollmer,Australia,173.19,71.19,1,52.16,01/11/2005,European Championships,5,27,7,32,23.73413,20,01/11/2020,Entrenador C,10 competencias,Olimpico,Normal
Marie Wattel,Hungary,183.06,74.34,0,57.57,01/05/2015,Pan Pacific Championships,2,20,10,30,22.18378,22,Sin lesiones,Entrenador B,15 competencias,Olimpico,Normal
Maggie MacNeil,France,171.12,82.3,0,57.58,10/11/2014,World Championships,1,31,9,50,28.10595,27,20/06/2022,Entrenador D,20 competencias,Olimpico,Sobrepeso
Andrei Minakov,China,174.84,77.58,1,53.21,26/03/2011,World Championships,6,18,5,39,25.37863,15,20/06/2022,Entrenador A,5 competencias,Olimpico,Sobrepeso
Michael Phelps,Sweden,177.33,93.76,1,57.76,28/02/2013,Swim USA,4,28,6,40,29.81626,15,10/02/2023,Entrenador A,5 competencias,Olimpico,Sobrepeso
Caeleb Dressel,Australia,180.54,89.12,0,51.44,27/11/2007,Swim USA,2,29,7,35,27.34188,32,25/05/2019,Entrenador A,5 competencias,Olimpico,Sobrepeso
Louise Hansson,Singapore,180.38,86.14,0,52.98,03/09/2015,Olympic Games,6,31,8,45,26.47452,25,Sin lesiones,Entrenador A,10 competencias,Olimpico,Sobrepeso
Beryl Gastaldello,Singapore,191.17,64.05,1,58.09,07/06/2003,Swim USA,8,29,9,33,17.52587,18,10/02/2023,Entrenador C,5 competencias,Olimpico,Bajo peso
Louise Hansson,Australia,170.84,66.67,1,55.42,21/12/2011,Pan Pacific Championships,7,38,10,34,22.8429,32,Sin lesiones,Entrenador C,15 competencias,Olimpico,Normal
Marie Wattel,Sweden,170.63,72.87,1,48.6,12/12/2013,Olympic Games,1,36,12,28,25.02868,15,Sin lesiones,Entrenador C,15 competencias,Olimpico,Sobrepeso
Kristof Milak,USA,183.94,81.23,0,52.93,09/06/2016,Pan Pacific Championships,3,30,14,36,24.00845,15,Sin lesiones,Entrenador D,20 competencias,Olimpico,Normal
Zhang Yufei,South Africa,186.77,84.41,1,55.34,20/09/2006,Olympic Games,1,25,6,32,24.19801,20,Sin lesiones,Entrenador B,5 competencias,Olimpico,Normal
Maggie MacNeil,Singapore,181.78,79.98,1,50.69,11/07/2005,Pan Pacific Championships,8,24,7,30,24.20411,22,20/06/2022,Entrenador C,15 competencias,Olimpico,Normal
Caeleb Dressel,China,183.53,66.3,1,51.42,13/10/2000,Pan Pacific Championships,2,26,10,50,19.68337,27,Sin lesiones,Entrenador B,25 competencias,Olimpico,Normal
Emma McKeon,France,195.36,71.73,1,61.12,25/05/2021,European Championships,5,35,9,39,18.79445,32,25/05/2019,Entrenador A,5 competencias,Olimpico,Normal
Marie Wattel,Singapore,171.85,71.87,1,51.57,12/01/2009,World Championships,5,39,5,40,24.33596,25,20/06/2022,Entrenador C,10 competencias,Olimpico,Normal
Tom Shields,Sweden,220.44,91.21,0,54.14,04/08/2002,Pan Pacific Championships,8,22,6,35,18.76989,18,20/06/2022,Entrenador A,20 competencias,Olimpico,Normal
Dana Vollmer,China,204.39,62.55,1,51.29,21/06/2005,World Championships,1,25,7,45,14.97297,32,15/01/2021,Entrenador B,15 competencias,Olimpico,Bajo peso
Tom Shields,Hungary,185.73,94.69,0,54.76,11/03/2013,Olympic Games,1,23,8,33,27.44985,15,10/02/2023,Entrenador D,5 competencias,Olimpico,Sobrepeso
Noe Ponti,China,172.87,66.39,1,56.75,05/10/2008,Pan Pacific Championships,1,27,9,34,22.21587,15,20/06/2022,Entrenador D,15 competencias,Olimpico,Normal
Tom Shields,Sweden,158.59,75.26,1,55.44,03/05/2008,World Championships,6,20,10,28,29.92352,20,15/01/2021,Entrenador C,20 competencias,Olimpico,Sobrepeso
Kristof Milak,Hungary,181.24,79.75,1,51.57,18/12/2018,Olympic Games,8,31,12,36,24.27854,22,10/02/2023,Entrenador A,10 competencias,Olimpico,Normal
Maggie MacNeil,Sweden,192.98,89,0,53.22,27/02/2010,Pan Pacific Championships,2,18,14,32,23.89821,27,Sin lesiones,Entrenador A,5 competencias,Olimpico,Normal
Caeleb Dressel,Australia,174.59,70.27,1,57.17,16/05/2013,European Championships,2,28,6,30,23.0532,32,15/01/2021,Entrenador A,20 competencias,Olimpico,Normal
Maggie MacNeil,China,185.02,78.24,1,50.83,15/03/2011,Olympic Games,6,29,7,50,22.85554,25,Sin lesiones,Entrenador D,10 competencias,Olimpico,Normal
Dana Vollmer,South Africa,203.79,74.73,0,54.11,07/09/2008,European Championships,8,31,10,39,17.99406,18,Sin lesiones,Entrenador C,10 competencias,Olimpico,Bajo peso
Beryl Gastaldello,France,179.33,66.03,1,52.69,14/09/2020,World Championships,8,29,9,40,20.5322,32,Sin lesiones,Entrenador B,15 competencias,Olimpico,Normal
Maggie MacNeil,China,182.26,71.54,1,55.11,14/10/2007,Olympic Games,5,38,5,35,21.53606,15,Sin lesiones,Entrenador A,20 competencias,Olimpico,Normal
Caeleb Dressel,China,182.84,75.75,1,53.06,02/02/2010,Olympic Games,6,36,6,45,22.65897,15,Sin lesiones,Entrenador D,25 competencias,Olimpico,Normal
Dana Vollmer,Sweden,187.03,65.03,0,53.34,09/03/2002,European Championships,8,30,7,33,18.59051,20,Sin lesiones,Entrenador A,10 competencias,Olimpico,Normal
Louise Hansson,Singapore,159.59,68.38,1,54.9,06/09/2010,World Championships,1,25,8,34,26.84836,22,25/05/2019,Entrenador C,15 competencias,Olimpico,Sobrepeso
Andrei Minakov,China,175.65,68.16,1,54.98,14/09/2000,Olympic Games,4,24,9,28,22.09191,27,10/02/2023,Entrenador B,10 competencias,Olimpico,Normal
Andrei Minakov,South Africa,172.07,76.97,0,53,27/04/2007,Swim USA,1,26,10,36,25.99628,15,Sin lesiones,Entrenador B,10 competencias,Olimpico,Sobrepeso
Noe Ponti,France,177.08,71.9,0,54.46,10/10/2022,Olympic Games,1,35,12,32,22.92925,15,01/11/2020,Entrenador C,25 competencias,Olimpico,Normal
Dana Vollmer,China,172.9,78.75,1,57.24,24/05/2019,Olympic Games,7,39,14,30,26.34272,32,20/06/2022,Entrenador B,20 competencias,Olimpico,Sobrepeso
Beryl Gastaldello,Singapore,165.56,78.43,0,50.65,07/10/2020,Olympic Games,3,22,6,50,28.61353,25,15/01/2021,Entrenador D,20 competencias,Olimpico,Sobrepeso
Marie Wattel,France,180.6,85.57,0,57.63,09/09/2020,Olympic Games,8,25,7,39,26.2353,18,Sin lesiones,Entrenador D,5 competencias,Olimpico,Sobrepeso
Emma McKeon,France,181.87,77.42,1,59.17,20/09/2013,Olympic Games,2,23,10,40,23.40621,32,Sin lesiones,Entrenador D,15 competencias,Olimpico,Normal
Caeleb Dressel,France,173.95,79.99,1,59.27,13/02/2022,Olympic Games,7,27,9,35,26.43546,15,01/11/2020,Entrenador C,25 competencias,Olimpico,Sobrepeso
Louise Hansson,France,199.12,75.37,1,52.47,04/07/2017,Olympic Games,2,20,5,45,19.00941,15,01/11/2020,Entrenador B,20 competencias,Olimpico,Normal
Emma McKeon,Sweden,178.71,80.23,0,52.82,18/06/2001,World Championships,2,31,6,33,25.12112,20,Sin lesiones,Entrenador D,10 competencias,Olimpico,Sobrepeso
Emma McKeon,South Africa,173.17,85.3,0,55.12,11/05/2011,European Championships,6,18,7,34,28.44485,22,20/06/2022,Entrenador D,25 competencias,Olimpico,Sobrepeso
Beryl Gastaldello,Australia,188.74,70.64,1,62.99,02/10/2022,Olympic Games,2,28,8,28,19.83,27,10/02/2023,Entrenador A,5 competencias,Olimpico,Normal
Beryl Gastaldello,Australia,179.35,64.01,1,54.18,14/11/2000,Swim USA,1,29,9,36,19.89963,32,Sin lesiones,Entrenador A,5 competencias,Olimpico,Normal
Noe Ponti,Singapore,184.19,72.19,0,49.91,25/12/2009,Swim USA,4,31,10,32,21.27869,25,01/11/2020,Entrenador B,15 competencias,Olimpico,Normal
Marie Wattel,South Africa,184.29,74.71,1,56.76,12/04/2022,Pan Pacific Championships,1,29,12,30,21.99759,18,01/11/2020,Entrenador A,15 competencias,Olimpico,Normal
Dana Vollmer,France,170.19,87.44,0,51.33,23/03/2009,Olympic Games,4,38,14,50,30.18854,32,15/01/2021,Entrenador D,20 competencias,Olimpico,Obesidad
Noe Ponti,China,184.18,77.18,0,49.8,19/11/2023,Swim USA,3,36,6,39,22.75201,15,15/01/2021,Entrenador C,20 competencias,Olimpico,Normal
Kristof Milak,Hungary,179.39,75.86,0,52.7,22/12/2001,Olympic Games,8,30,7,40,23.57308,15,Sin lesiones,Entrenador A,20 competencias,Olimpico,Normal
Kristof Milak,South Africa,192.55,74.76,0,56.24,08/11/2000,European Championships,6,25,10,35,20.16426,20,10/02/2023,Entrenador A,5 competencias,Olimpico,Normal
Noe Ponti,South Africa,176.35,72.56,0,59.29,04/01/2007,European Championships,3,24,9,45,23.3317,22,Sin lesiones,Entrenador A,15 competencias,Olimpico,Normal
Emma McKeon,France,173.61,71.07,1,49.49,07/03/2005,Pan Pacific Championships,4,26,5,33,23.57962,27,Sin lesiones,Entrenador C,15 competencias,Olimpico,Normal
